 Reporte de 30 dias 
Estado final de equipos:
PC-085   | Estado: 15   | Prioridad: 13.8   | Incidencias Activas: 16   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
MIC-019   | Estado: 0   | Prioridad: 10.4   | Incidencias Activas: 8   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-020   | Estado: 0   | Prioridad: 10.4   | Incidencias Activas: 8   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-021   | Estado: 5   | Prioridad: 9.9   | Incidencias Activas: 7   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-022   | Estado: 5   | Prioridad: 9.9   | Incidencias Activas: 7   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-023   | Estado: 10   | Prioridad: 9.4   | Incidencias Activas: 6   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-024   | Estado: 10   | Prioridad: 9.4   | Incidencias Activas: 6   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-025   | Estado: 15   | Prioridad: 8.9   | Incidencias Activas: 5   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-026   | Estado: 15   | Prioridad: 8.9   | Incidencias Activas: 5   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
PC-051   | Estado: 42   | Prioridad: 8.8   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-052   | Estado: 44   | Prioridad: 8.6   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-053   | Estado: 46   | Prioridad: 8.4   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
MIC-027   | Estado: 20   | Prioridad: 8.4   | Incidencias Activas: 4   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-028   | Estado: 20   | Prioridad: 8.4   | Incidencias Activas: 4   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
PC-054   | Estado: 48   | Prioridad: 8.2   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-055   | Estado: 50   | Prioridad: 8   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
MIC-029   | Estado: 25   | Prioridad: 7.9   | Incidencias Activas: 3   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-030   | Estado: 25   | Prioridad: 7.9   | Incidencias Activas: 3   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
PC-056   | Estado: 52   | Prioridad: 7.8   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-057   | Estado: 54   | Prioridad: 7.6   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-058   | Estado: 56   | Prioridad: 7.4   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
MIC-031   | Estado: 30   | Prioridad: 7.4   | Incidencias Activas: 2   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-032   | Estado: 30   | Prioridad: 7.4   | Incidencias Activas: 2   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
PC-059   | Estado: 58   | Prioridad: 7.2   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-060   | Estado: 60   | Prioridad: 7   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
MIC-033   | Estado: 35   | Prioridad: 6.9   | Incidencias Activas: 1   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-034   | Estado: 35   | Prioridad: 6.9   | Incidencias Activas: 1   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
PC-061   | Estado: 62   | Prioridad: 6.8   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-062   | Estado: 64   | Prioridad: 6.6   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-063   | Estado: 66   | Prioridad: 6.4   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
MIC-035   | Estado: 40   | Prioridad: 6.4   | Incidencias Activas: 0   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-036   | Estado: 40   | Prioridad: 6.4   | Incidencias Activas: 0   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
PC-064   | Estado: 68   | Prioridad: 6.2   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
MIC-037   | Estado: 45   | Prioridad: 6.2   | Incidencias Activas: 0   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-038   | Estado: 45   | Prioridad: 6.2   | Incidencias Activas: 0   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
PC-065   | Estado: 70   | Prioridad: 6   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
MIC-039   | Estado: 50   | Prioridad: 6   | Incidencias Activas: 0   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-040   | Estado: 50   | Prioridad: 6   | Incidencias Activas: 0   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
PC-066   | Estado: 72   | Prioridad: 5.8   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
MIC-041   | Estado: 55   | Prioridad: 5.8   | Incidencias Activas: 0   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-042   | Estado: 55   | Prioridad: 5.8   | Incidencias Activas: 0   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-043   | Estado: 60   | Prioridad: 5.6   | Incidencias Activas: 0   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-044   | Estado: 60   | Prioridad: 5.6   | Incidencias Activas: 0   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
PC-067   | Estado: 74   | Prioridad: 5.6   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
MIC-045   | Estado: 65   | Prioridad: 5.4   | Incidencias Activas: 0   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-046   | Estado: 65   | Prioridad: 5.4   | Incidencias Activas: 0   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
PC-068   | Estado: 76   | Prioridad: 5.4   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
MIC-047   | Estado: 70   | Prioridad: 5.2   | Incidencias Activas: 0   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-048   | Estado: 70   | Prioridad: 5.2   | Incidencias Activas: 0   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
PC-069   | Estado: 78   | Prioridad: 5.2   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
MIC-049   | Estado: 75   | Prioridad: 5   | Incidencias Activas: 0   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-050   | Estado: 75   | Prioridad: 5   | Incidencias Activas: 0   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
PC-070   | Estado: 80   | Prioridad: 5   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
MIC-001   | Estado: 80   | Prioridad: 4.8   | Incidencias Activas: 0   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-002   | Estado: 80   | Prioridad: 4.8   | Incidencias Activas: 0   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
PC-071   | Estado: 82   | Prioridad: 4.8   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
MIC-003   | Estado: 85   | Prioridad: 4.6   | Incidencias Activas: 0   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-004   | Estado: 85   | Prioridad: 4.6   | Incidencias Activas: 0   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
PC-072   | Estado: 84   | Prioridad: 4.6   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
MIC-005   | Estado: 90   | Prioridad: 4.4   | Incidencias Activas: 0   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-006   | Estado: 90   | Prioridad: 4.4   | Incidencias Activas: 0   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
PC-073   | Estado: 86   | Prioridad: 4.4   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-074   | Estado: 88   | Prioridad: 4.2   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-075   | Estado: 90   | Prioridad: 4   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-076   | Estado: 92   | Prioridad: 3.8   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-077   | Estado: 94   | Prioridad: 3.6   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-078   | Estado: 96   | Prioridad: 3.4   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-079   | Estado: 98   | Prioridad: 3.2   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-080   | Estado: 98   | Prioridad: 3.2   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-081   | Estado: 98   | Prioridad: 3.2   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-082   | Estado: 100   | Prioridad: 3   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-083   | Estado: 100   | Prioridad: 3   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-084   | Estado: 100   | Prioridad: 3   | Incidencias Activas: 0   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6

Riesgo global final: 813.2
Promedio prioridad: 8.132
Total de equipos en simulacion: 100
